shock_type,outcome,dropped,event_time,att,n_groups,n_treated_cells,min_controls
revolutionary rupture,Political + Ideational,Germany,3,-0.05262466051794307,1.0,1.0,5.0
revolutionary rupture,Political + Security,Germany,-3,0.480901550021003,2.0,3.0,2.0
revolutionary rupture,Political + Security,Germany,-2,0.4072062759714566,2.0,3.0,3.0
revolutionary rupture,Political + Security,Germany,0,0.28165062038134636,2.0,3.0,5.0
revolutionary rupture,Political + Security,Germany,1,0.3845860992221643,2.0,3.0,5.0
revolutionary rupture,Political + Security,Germany,2,0.2895034323004926,2.0,3.0,5.0
revolutionary rupture,Political + Security,Germany,3,0.3497291055194472,1.0,1.0,5.0
revolutionary rupture,Economic + Security,Italy,-3,0.11551382863800262,2.0,4.0,3.0
revolutionary rupture,Economic + Security,Italy,-2,-0.2922471910620148,2.0,4.0,4.0
revolutionary rupture,Economic + Security,Italy,0,-0.15022810309085113,2.0,4.0,5.0
revolutionary rupture,Economic + Security,Italy,1,0.47732957488114147,2.0,4.0,5.0
revolutionary rupture,Economic + Security,Italy,2,-0.13522646210090716,2.0,4.0,5.0
revolutionary rupture,Economic + Security,Italy,3,0.03191234658930414,1.0,1.0,5.0
revolutionary rupture,Ideational + Economic,Italy,-3,-0.22488474113192325,2.0,4.0,3.0
revolutionary rupture,Ideational + Economic,Italy,-2,-0.17177361435923824,2.0,4.0,4.0
revolutionary rupture,Ideational + Economic,Italy,0,0.29017771932560776,2.0,4.0,5.0
revolutionary rupture,Ideational + Economic,Italy,1,0.07537720260596428,2.0,4.0,5.0
revolutionary rupture,Ideational + Economic,Italy,2,-0.18238281716553473,2.0,4.0,5.0
revolutionary rupture,Ideational + Economic,Italy,3,-0.8085334567826425,1.0,1.0,5.0
revolutionary rupture,Ideational + Security,Italy,-3,0.11526964361984697,2.0,4.0,3.0
revolutionary rupture,Ideational + Security,Italy,-2,0.42389662377950366,2.0,4.0,4.0
revolutionary rupture,Ideational + Security,Italy,0,-0.3898475295511152,2.0,4.0,5.0
revolutionary rupture,Ideational + Security,Italy,1,-0.5603903907998233,2.0,4.0,5.0
revolutionary rupture,Ideational + Security,Italy,2,-0.03118708123587316,2.0,4.0,5.0
revolutionary rupture,Ideational + Security,Italy,3,0.29470714989564495,1.0,1.0,5.0
revolutionary rupture,Political + Economic,Italy,-3,-0.21686945111695982,2.0,4.0,3.0
revolutionary rupture,Political + Economic,Italy,-2,0.0034628473638713825,2.0,4.0,4.0
revolutionary rupture,Political + Economic,Italy,0,-0.20848786570239683,2.0,4.0,5.0
revolutionary rupture,Political + Economic,Italy,1,-0.31166562129693715,2.0,4.0,5.0
revolutionary rupture,Political + Economic,Italy,2,-0.0034414524671752336,2.0,4.0,5.0
revolutionary rupture,Political + Economic,Italy,3,0.30583333787273054,1.0,1.0,5.0
revolutionary rupture,Political + Ideational,Italy,-3,-0.012963743825358087,2.0,4.0,3.0
revolutionary rupture,Political + Ideational,Italy,-2,-0.09475942559876771,2.0,4.0,4.0
revolutionary rupture,Political + Ideational,Italy,0,-0.021639908062774587,2.0,4.0,5.0
revolutionary rupture,Political + Ideational,Italy,1,0.047066347888304064,2.0,4.0,5.0
revolutionary rupture,Political + Ideational,Italy,2,0.011498929242996194,2.0,4.0,5.0
revolutionary rupture,Political + Ideational,Italy,3,0.02493042275194332,1.0,1.0,5.0
revolutionary rupture,Political + Security,Italy,-3,0.26282277159919654,2.0,4.0,3.0
revolutionary rupture,Political + Security,Italy,-2,0.12188556617785369,2.0,4.0,4.0
revolutionary rupture,Political + Security,Italy,0,0.18746433395975443,2.0,4.0,5.0
revolutionary rupture,Political + Security,Italy,1,0.00788435862550671,2.0,4.0,5.0
revolutionary rupture,Political + Security,Italy,2,0.17376543813394377,2.0,4.0,5.0
revolutionary rupture,Political + Security,Italy,3,0.3459617572820941,1.0,1.0,5.0
revolutionary rupture,Economic + Security,New Zealand,-3,0.11515551650521413,2.0,4.0,3.0
revolutionary rupture,Economic + Security,New Zealand,-2,-0.27283619317647695,2.0,4.0,4.0
revolutionary rupture,Economic + Security,New Zealand,0,-0.1899909742132437,2.0,4.0,6.0
revolutionary rupture,Economic + Security,New Zealand,1,0.4593751386937589,2.0,4.0,6.0
revolutionary rupture,Economic + Security,New Zealand,2,-0.19704293127815037,2.0,4.0,6.0
revolutionary rupture,Economic + Security,New Zealand,3,-0.03382946958725225,1.0,1.0,6.0
revolutionary rupture,Ideational + Economic,New Zealand,-3,-0.22200420874343774,2.0,4.0,3.0
revolutionary rupture,Ideational + Economic,New Zealand,-2,-0.16906741833207115,2.0,4.0,4.0
revolutionary rupture,Ideational + Economic,New Zealand,0,0.2989067692062277,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,New Zealand,1,0.09204470018056292,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,New Zealand,2,-0.1752034773010093,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,New Zealand,3,-0.8486302068571017,1.0,1.0,6.0
revolutionary rupture,Ideational + Security,New Zealand,-3,0.10568436822744683,2.0,4.0,3.0
revolutionary rupture,Ideational + Security,New Zealand,-2,0.41634404884585263,2.0,4.0,4.0
revolutionary rupture,Ideational + Security,New Zealand,0,-0.41889030605343713,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,New Zealand,1,-0.6009068885252613,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,New Zealand,2,-0.04406467271743339,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,New Zealand,3,0.34629626308329675,1.0,1.0,6.0
revolutionary rupture,Political + Economic,New Zealand,-3,-0.21713863516579854,2.0,4.0,3.0
